"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A1","Cortical projection neurons 1_3","Cortical projection neurons 1_3_Brain",0.730974346702291,0.279594103850268,0.279594103850268,0.945408206987807,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_028","028 L6b/CT ENT Glut",1,"CS20230722_SUPT_0107","0107 L6b/CT ENT Glut_2",0.99,"CS20230722_CLUS_0416","0416 L6b/CT ENT Glut_2",50,0.99,"CS20230722_CLAS_13","13 CNU-HYa Glut",0.59,"CS20230722_SUBC_119","119 SI-MA-LPO-LHA Skor1 Glut",0.69,"CS20230722_SUPT_0530","0530 SI-MA-LPO-LHA Skor1 Glut_1",0.78,"CS20230722_CLUS_2136","2136 SI-MA-LPO-LHA Skor1 Glut_1",2737,0.78,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A2","Striatal neurons 1_13","Striatal neurons 1_13_Brain",0.656922954828118,0.395264953248273,0.395264953248273,0.876126661805471,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_19","19 MB Glut",0.49,"CS20230722_SUBC_176","176 SCig Foxb1 Glut",1,"CS20230722_SUPT_0760","0760 SCig Foxb1 Glut_1",1,"CS20230722_CLUS_3215","3215 SCig Foxb1 Glut_1",4948,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.98,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.98,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A3","Cortical projection neurons 1_11","Cortical projection neurons 1_11_Brain",0.807197885308675,0.127672644455429,0.127672644455429,0.896360036679901,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.99,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_14","14 HY Glut",0.61,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.61,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",0.91,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,0.91,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A4","Interneurons 2_2","Interneurons 2_2_Brain",1,0.739788077232302,0.739788077232302,0.976834324740504,"Interneurons 2","OB neurons 1_11","GABAergic","L5 ET","CS20230722_CLAS_06","06 CTX-CGE GABA",0.55,"CS20230722_SUBC_048","048 RHP-COA Ndnf Gaba",0.84,"CS20230722_SUPT_0198","0198 RHP-COA Ndnf Gaba_6",0.68,"CS20230722_CLUS_0705","0705 RHP-COA Ndnf Gaba_6",690,0.68,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"06 CTX-CGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","3","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A5","Striatal neurons 1_13","Striatal neurons 1_13_Brain",0.784013628842622,0.190416086671653,0.190416086671653,0.939358731333857,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.9,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_14","14 HY Glut",0.56,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.63,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",1,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,1,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A6","Cortical projection neurons 1_16","Cortical projection neurons 1_16_Brain",0.974650508761419,0.255828891158602,0.255828891158602,0.95494187099573,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_003","003 L5/6 IT TPE-ENT Glut",1,"CS20230722_SUPT_0010","0010 L5/6 IT TPE-ENT Glut_4",1,"CS20230722_CLUS_0030","0030 L5/6 IT TPE-ENT Glut_4",145,1,"CS20230722_CLAS_19","19 MB Glut",0.41,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.56,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","006 L4/5 IT CTX Glut","24 MY Glut","261 HB Calcb Chol","9","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A7","Striatal neurons 1_11","Striatal neurons 1_11_Brain",0.89226331777288,0.136493816689611,0.136493816689611,0.956853308719717,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_09","09 CNU-LGE GABA",0.87,"CS20230722_SUBC_061","061 STR D1 Gaba",1,"CS20230722_SUPT_0269","0269 STR D1 Gaba_5",0.82,"CS20230722_CLUS_0956","0956 STR D1 Gaba_5",1068,0.82,"CS20230722_CLAS_14","14 HY Glut",0.6,"CS20230722_SUBC_141","141 PH-SUM Foxa1 Glut",0.34,"CS20230722_SUPT_0623","0623 PH-SUM Foxa1 Glut_2",0.89,"CS20230722_CLUS_2541","2541 PH-SUM Foxa1 Glut_2",2341,0.89,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A8","Striatal neurons 1_5","Striatal neurons 1_5_Brain",0.596017508292885,0.192298620831865,0.192298620831865,0.869380426423378,"Interneurons 2","OB neurons 1_11","GABAergic","L5 ET","CS20230722_CLAS_09","09 CNU-LGE GABA",0.42,"CS20230722_SUBC_059","059 GPe-SI Sox6 Cyp26b1 Gaba",0.43,"CS20230722_SUPT_0258","0258 GPe-SI Sox6 Cyp26b1 Gaba_2",0.91,"CS20230722_CLUS_0919","0919 GPe-SI Sox6 Cyp26b1 Gaba_2",1179,0.91,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",1,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,1,"06 CTX-CGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","3","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A9","Striatal neurons 1_13","Striatal neurons 1_13_Brain",0.866441820665803,0.21635500790923,0.21635500790923,0.967748035098373,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.95,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.87,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.87,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A10","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.407564466068075,0.152490757394354,0.152490757394354,0.975705200551002,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_24","24 MY Glut",0.63,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_19","19 MB Glut",0.8,"CS20230722_SUBC_159","159 IF-RL-CLI-PAG Foxa1 Glut",0.91,"CS20230722_SUPT_0685","0685 IF-RL-CLI-PAG Foxa1 Glut_1",0.86,"CS20230722_CLUS_2769","2769 IF-RL-CLI-PAG Foxa1 Glut_1",2352,0.86,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
